"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED"
"IT",17,6,180,230,"",50.3,17.9,6.6,5,2.5,3.1,0.4,0.7,0.1,,13.4,100,4.8,20.4,3.9,4.3,"data from Spaargaren (1979), profile Sp/166","25.06.1996","OSP"
"IT",17,7,,,"",52.3,18.3,4.3,4.3,2.7,3.2,0.4,0.7,0.1,,13.7,100,4.8,32.3,4.2,6.7,"data from Spaargaren (1979), profile Sp/166","25.06.1996","OSP"
"TH",4,1,2,15,"670116",51.9,30.2,6,0.1,1.3,3.4,,0.9,0.1,0.2,8.7,102.8,2.9,23,2.6,7.9,"","19.07.1996","OSP"
"ZA",1,1,0,20,"750001",40.2,24,19,0.1,0.67,0.28,,1.31,0.25,0.27,11.3,97.6,2.8,5.6,1.9,2,"","25.03.2004","OSP"
"ZA",1,2,20,46,"750002",41.8,25.7,16.9,0.05,0.72,0.31,,1.01,0.28,0.17,11.5,98.6,2.8,6.6,1.9,2.4,"","25.03.2004","OSP"
"ZA",1,3,46,64,"750003",41.5,27.3,17.1,0.08,0.61,0.34,,0.99,0.29,0.15,11.9,100.3,2.6,6.4,1.8,2.5,"","25.03.2004","OSP"
"ZA",1,4,64,75,"750004",42.6,27.9,15.6,0.1,0.71,0.36,,0.8,0.18,0.14,11.8,100.2,2.6,7.3,1.9,2.8,"","25.03.2004","OSP"
"ZA",1,5,75,95,"750005",42.5,26.1,16.4,0.17,0.76,0.32,,0.96,0.23,0.18,11.7,99.2,2.8,6.9,2,2.5,"","25.03.2004","OSP"
"ZA",1,6,95,110,"750006",45.7,27.4,14.6,0.14,1.1,0.44,,0.65,0.17,0.16,10.8,101.2,2.8,8.3,2.1,2.9,"","25.03.2004","OSP"
"ZA",2,1,0,20,"750007",14.5,41.5,17.3,0.03,0.21,0.15,,1.56,0.05,0.28,22.9,98.5,0.6,2.2,0.5,3.8,"","25.03.2004","OSP"
"ZA",2,2,20,35,"750008",15.9,41.1,17.7,0,0.24,0.14,,1.78,0.03,0.24,21.8,98.9,0.6,2.4,0.5,3.6,"","25.03.2004","OSP"
"ZA",2,3,35,50,"750009",17.4,42.4,17.8,0,0.24,0.15,,1.76,0.04,0.21,21.6,101.6,0.7,2.6,0.6,3.7,"","25.03.2004","OSP"
"ZA",2,4,50,65,"750010",15.8,42.2,17.7,0,0.23,0.16,,1.54,0.04,0.21,21.9,99.9,0.6,2.4,0.5,3.7,"","25.03.2004","OSP"
"ZA",2,5,65,80,"750011",14.7,40.8,17.2,0.01,0.21,0.16,,1.53,0.05,0.28,22.6,97.6,0.6,2.3,0.5,3.7,"","25.03.2004","OSP"
"ZA",2,6,80,95,"750012",14.5,41.5,17.3,0.03,0.21,0.15,,1.56,0.05,0.28,22.9,98.5,0.6,2.2,0.5,3.8,"","25.03.2004","OSP"
"ZA",2,7,95,110,"750013",14.4,41,16.8,0.01,0.22,0.14,,1.48,0.05,0.28,23.3,97.8,0.6,2.3,0.5,3.8,"","25.03.2004","OSP"
"ZA",2,8,110,125,"750014",15.5,41.7,16.9,0.01,0.2,0.15,,1.53,0.06,0.28,22.5,98.8,0.6,2.4,0.5,3.9,"","25.03.2004","OSP"
"ZA",3,1,0,15,"750016",38.6,32.3,12.1,0,1.11,2.85,,0.9,0.03,0.33,11.7,99.9,2,8.5,1.6,4.2,"","25.03.2004","OSP"
"ZA",3,2,15,30,"750017",39.3,31.7,12.1,0.01,1.13,3,,1,0.03,0.28,11.6,100.2,2.1,8.6,1.7,4.1,"","25.03.2004","OSP"
"ZA",3,3,30,45,"750018",38.6,32.2,12.5,0.01,1.13,3.31,,0.9,0.03,0.29,11.3,100.2,2.1,8.4,1.7,4.1,"","25.03.2004","OSP"
"ZA",3,4,45,66,"750019",39.6,32.6,12.7,0,1.13,3.69,,0.92,0.04,0.28,11,102,2.1,8.3,1.6,4,"","25.03.2004","OSP"
"ZA",3,5,66,,"750020",47.2,30.2,8.2,0.02,1.33,5.85,,0.61,0.1,0.32,7.8,101.6,2.7,15.3,2.3,5.8,"Shale sample","25.03.2004","OSP"
"ZA",5,1,0,20,"750031",33.1,28.8,22.2,0.02,0.46,0.18,,2.74,0.06,0.21,13.3,101,2,4,1.3,2,"","25.03.2004","OSP"
"ZA",5,2,20,40,"750032",32,28.6,21.9,0.01,0.38,0.16,,2.47,0.04,0.26,13.6,99.5,1.9,3.9,1.3,2,"","25.03.2004","OSP"
"ZA",5,3,40,60,"750033",34,30.2,19.8,0,0.34,0.22,,1.68,0.03,0.16,13.3,99.8,1.9,4.6,1.4,2.4,"","25.03.2004","OSP"
"ZA",5,4,60,80,"750034",35.7,31.8,19.6,0,0.38,0.22,,1.42,0.03,0.11,13.4,102.6,1.9,4.8,1.4,2.5,"","25.03.2004","OSP"
"ZA",5,5,80,100,"750035",34.6,30,19.4,0,0.37,0.2,,1.66,0.03,0.12,13.1,99.4,2,4.8,1.4,2.4,"","25.03.2004","OSP"
"ZA",5,6,100,120,"750036",37.6,28.6,18.7,0,0.43,0.18,,1.92,0.04,0.13,12.4,99.9,2.2,5.3,1.6,2.4,"","25.03.2004","OSP"
"ZA",6,1,0,15,"750037",62.8,19.5,6.4,0.05,0.49,3.2,,1.76,0.08,0.39,6.5,101.2,5.5,26.1,4.5,4.8,"","26.03.2004","OSP"
"ZA",6,2,15,40,"750038",62.4,20.2,5.9,0.05,0.47,3.41,,1.73,0.03,0.77,6.1,101.1,5.2,28.1,4.4,5.4,"","26.03.2004","OSP"
"ZA",6,3,40,70,"750039",63.4,21.1,6.1,0.02,0.48,3.49,,1.82,0.02,0.44,6,102.8,5.1,27.6,4.3,5.4,"","26.03.2004","OSP"
"ZA",6,4,70,90,"750040",51.6,28,7.4,0.02,0.58,2.81,,1.08,0.01,0.24,8.9,100.6,3.1,18.4,2.7,5.9,"","26.03.2004","OSP"
"ZA",6,5,95,,"750041",46.2,29,7.9,0.07,0.56,2.51,,0.64,0.01,0.36,12.1,99.5,2.7,15.5,2.3,5.7,"","26.03.2004","OSP"
"ZA",7,1,0,10,"750042",43.4,30.4,10.4,0.02,0.56,1.86,,1.25,0.09,0.25,11.6,99.7,2.4,11.1,2,4.6,"","26.03.2004","OSP"
"ZA",7,2,10,20,"750043",42.1,31.7,10.3,0.01,0.55,1.77,,1.16,0.04,0.17,11.7,99.6,2.3,10.8,1.9,4.8,"","26.03.2004","OSP"
"ZA",7,3,25,60,"750044",40.5,34.3,11.2,0,0.45,1.25,,0.92,0.04,0.1,12.8,101.5,2,9.6,1.7,4.8,"","26.03.2004","OSP"
"ZA",8,1,0,30,"750045",49.2,21,13.7,0.25,0.73,0.19,,1.44,0.14,0.13,10.9,97.7,4,9.6,2.8,2.4,"","26.03.2004","OSP"
"ZA",8,2,30,55,"750046",54.8,18,14.3,0.49,1.01,0.14,,1.34,0.14,0.09,9.9,100.3,5.2,10.2,3.4,2,"","26.03.2004","OSP"
"ZA",8,3,55,80,"750047",59.3,17.2,12.4,1,1.2,0.18,,1.37,0.05,0.08,7.3,100.2,5.8,12.7,4,2.2,"","26.03.2004","OSP"
"ZA",8,4,80,100,"750048",57.1,18.7,12.3,1.18,1.27,0.21,,1.37,0.06,0.09,7.4,99.6,5.2,12.3,3.7,2.4,"","26.03.2004","OSP"
"ZA",8,5,100,110,"750049",51.3,20.4,14.4,0.17,1.46,0.06,,1.12,0.06,0.06,10.8,99.9,4.3,9.5,2.9,2.2,"","26.03.2004","OSP"
"ZA",9,1,0,20,"750050",46.2,24.1,16,0.16,1.29,0.2,,0.82,0.18,0.12,11.2,100.3,3.3,7.7,2.3,2.4,"","26.03.2004","OSP"
"ZA",9,2,20,40,"750051",46.6,24.5,16,0.16,1.3,0.21,,0.82,0.19,0.13,11.1,101,3.2,7.7,2.3,2.4,"","26.03.2004","OSP"
"ZA",9,3,40,60,"750052",47.5,24.4,15,0.15,1.25,0.24,,0.84,0.22,0.11,11.1,100.8,3.3,8.4,2.4,2.5,"","26.03.2004","OSP"
"ZA",9,4,60,80,"750053",47.8,24.2,14.2,0.14,1.24,0.27,,0.82,0.15,0.09,11.2,100.2,3.4,8.9,2.4,2.7,"","26.03.2004","OSP"
"ZA",9,5,80,100,"750054",48.3,24.1,14.1,0.15,1.28,0.27,,0.82,0.19,0.09,11,100.4,3.4,9.1,2.5,2.7,"","26.03.2004","OSP"
"ZA",9,6,100,110,"750055",49.1,24.2,14.4,0.17,1.36,0.26,,0.84,0.19,0.08,11.1,101.6,3.4,9.1,2.5,2.6,"","26.03.2004","OSP"
"ZA",10,1,0,20,"750056",40.2,27.2,19.1,0.04,0.68,0.14,,0.94,0.23,0.2,11.8,100.6,2.5,5.6,1.7,2.2,"","26.03.2004","OSP"
"ZA",10,2,20,40,"750057",40.2,27.3,18.5,0.04,0.59,0.14,,0.93,0.2,0.15,11.9,100,2.5,5.8,1.8,2.3,"","26.03.2004","OSP"
"ZA",10,3,40,60,"750058",40.2,28.1,18.3,0.09,0.57,0.15,,0.88,0.15,0.14,12.4,100.9,2.4,5.8,1.7,2.4,"","26.03.2004","OSP"
"ZA",10,4,60,80,"750059",40.4,28,17.6,0.06,0.61,0.14,,0.82,0.17,0.13,12.3,100.2,2.4,6.1,1.8,2.5,"","26.03.2004","OSP"
"ZA",10,5,80,100,"750060",41.8,28.1,16.6,0.06,0.1,0.15,,0.71,0.18,0.11,12.2,100.6,2.5,6.7,1.8,2.6,"","26.03.2004","OSP"
"ZA",10,6,100,110,"750061",42.1,27.8,15.6,0.05,0.74,0.15,,0.66,0.15,0.12,12.1,99.4,2.6,7.1,1.9,2.8,"","26.03.2004","OSP"
"ZA",12,1,0,20,"750069",40.7,27.8,15.2,0.15,0.62,0.27,,2.54,0.18,0.32,12.1,,2.5,7.1,1.8,2.8,"","26.03.2004","OSP"
"ZA",12,2,20,40,"750070",41,29,15.3,0.07,0.55,0.25,,2.57,0.09,0.22,12.2,,2.4,7.1,1.8,3,"","26.03.2004","OSP"
"ZA",12,3,40,60,"750071",38.7,30.2,15.9,0.06,0.5,0.27,,2.31,0.07,0.22,12.3,,2.2,6.5,1.6,3,"","26.03.2004","OSP"
"ZA",12,4,60,80,"750072",38.3,31.6,15.5,0.04,0.46,0.32,,1.8,0.04,0.21,12.7,,2.1,6.6,1.6,3.2,"","26.03.2004","OSP"
"ZA",12,5,80,100,"750073",37.7,31.9,14.9,0.03,0.41,0.38,,1.68,0.14,0.24,12.8,,2,6.7,1.5,3.4,"","26.03.2004","OSP"
