"ISO","ID","HORI","TOP","BOT","SAMPLENO","HEAVY","LIGHT","QUARTZ","K_FELDSPAR","PLAGIOCLAS","REST","OPAQUE","SMINREM","EDITDATE","VERIFIED"
"MY",5,6,123,150,"850031",0.100000001490116,99.9000015258789,98,2,,,100,"Some zircone grains in the mount.","08.03.1994",""
"MY",6,5,129,200,"850036",0.100000001490116,99.9000015258789,100,,,,48,"","08.03.1994",""
"MY",7,5,120,150,"850042",20.5,79.5,99,1,,,100,"A few zircones and some Fe-concretions.","08.03.1994",""
"BR",3,5,102,147,"850176",11.1999998092651,88.8000030517578,100,,,,100,"Few grains of zircone, rutile and sillimanite","08.03.1994",""
"BR",4,5,90,150,"850182",7.59999990463257,92.4000015258789,100,,,,100,"Few grains of zircone","08.03.1994",""
"BR",5,4,75,215,"850187",2.09999990463257,97.9000015258789,100,,,,100,"Few grains of zircone and tourmaline","08.03.1994",""
"BR",6,4,85,165,"850192",0.300000011920929,99.6999969482422,100,,,,84,"In the light fraction some opaque concretions","08.03.1994",""
"BR",9,4,80,150,"850212",12.3999996185303,87.5999984741211,100,,,,53,"","08.03.1994",""
"BR",10,5,81,101,"850218",0.699999988079071,99.3000030517578,,,,,83,"In light fraction many Fe-concretions (by colouring Al was determined)","08.03.1994",""
"BR",11,5,80,120,"850225",1.39999997615814,98.5999984741211,100,,,,100,"","08.03.1994",""
"BR",13,5,85,132,"850243",69.6999969482422,30.2999992370605,100,,,,100,"","08.03.1994",""
"GA",1,4,120,135,"850268",2.90000009536743,97.0999984741211,100,,,,94,"","08.03.1994",""
"GA",4,6,110,140,"850286",0.100000001490116,99.9000015258789,100,,,,82,"","08.03.1994",""
"GA",5,3,60,90,"850289",0.300000011920929,99.6999969482422,100,,,,,"Not enough material: dominant opaque and Fe-concretions with some zircone and tourmaline grains.","08.03.1994",""
"LK",1,6,115,135,"850352",0.800000011920929,99.1999969482422,100,,,,83,"","08.03.1994",""
"LK",4,5,80,110,"850369",0.400000005960464,99.5999984741211,100,,,,73,"Many Fe-concretions in the heavy fraction.","08.03.1994",""
"PE",1,5,127,,"850517",0.100000001490116,99.9000015258789,100,,,,55,"","08.03.1994",""
