"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"LK",4,3,18,45,"820235",46.5,22,13.8,0.05,0.5,0.56,,2.49,0.04,0.08,14.4,100.4,3.6,9,2.6,2.5,"","","","LK0043"
"LK",4,4,45,85,"820236",46,22.6,14.1,0.01,0.48,0.59,,2.3,0.04,0.1,13.6,99.8,3.5,8.7,2.5,2.5,"","","","LK0044"
"LK",4,5,85,104,"820237",43.2,24.9,15.4,0.01,0.43,0.63,,2.26,0.04,0.13,13.4,100.4,2.9,7.5,2.1,2.5,"","","","LK0045"
"LK",4,6,104,-1,"820238",34.4,28.6,18.9,0.01,0.14,0.28,,2.66,0.03,0.16,15.1,100.3,2,4.8,1.4,2.4,"","","","LK0046"
"IE",6,1,0,10,"670067",83.2,5.8,2.5,0.28,0.31,1.06,0.28,0.42,0.14,0.18,6.5,100.4,24.3,88.6,19.1,3.6,"","29.10.2003","OSP","IE0061"
"IE",6,2,10,25,"670068",81.8,5.7,2.5,0.32,0.37,1.07,0.32,0.44,0.14,0.15,6.5,99,24.4,87.1,19,3.6,"","29.10.2003","OSP","IE0062"
"IE",6,3,25,40,"670069",84.5,6.2,2.6,0.3,0.46,1.28,0.45,0.43,0.13,0.09,3.1,99.1,23.1,86.5,18.3,3.7,"","29.10.2003","OSP","IE0063"
"IE",6,4,40,60,"670070",79.5,9,3.8,0.28,0.7,1.77,0.27,0.5,0.14,0.08,3.6,99.4,15,55.7,11.8,3.7,"","29.10.2003","OSP","IE0064"
"IE",6,5,60,80,"670071",70.1,13.3,5.4,0.59,1.24,2.56,0.18,0.66,0.19,0.13,5,99.2,8.9,34.6,7.1,3.9,"","29.10.2003","OSP","IE0065"
"IE",6,6,80,100,"670072",44.9,6.2,2.5,21.86,0.96,1.32,0.17,0.31,0.08,0.12,19.8,98,12.3,47.8,9.8,3.9,"","29.10.2003","OSP","IE0066"
"IE",9,1,0,7,"670084",53.9,3.6,0.9,0.11,0.31,1.06,0.57,0.19,0,0.05,40,99.1,25.4,159,21.9,6.3,"","30.10.2003","OSP","IE0091"
"IE",9,2,7,40,"670085",85.8,7.4,0.7,0.03,0.41,2.01,1.17,0.35,0,0,1.6,96.3,19.7,326,18.6,16.6,"","30.10.2003","OSP","IE0092"
"IE",9,3,40,49,"670086",84.2,7.7,0.9,0.03,0.62,2.05,0.85,0.47,0,0,3.1,97.1,18.6,249,17.3,13.4,"","30.10.2003","OSP","IE0093"
"IE",9,4,49,62,"670087",80.3,7.3,4.8,0.06,0.52,2.02,0.86,0.53,0.02,0.07,2,97.6,18.7,44.5,13.2,2.4,"","30.10.2003","OSP","IE0094"
"IE",9,5,62,87,"670088",83.7,7.6,3.7,0.08,1.07,2.14,0.79,0.45,0.05,0.08,1.7,100.6,18.7,60.2,14.3,3.2,"","30.10.2003","OSP","IE0095"
"IE",11,1,0,8,"670092",64.1,8.6,2.5,1.1,0.64,1.36,0.25,0.79,0.01,0.29,19.9,99.3,12.6,68.3,10.7,5.4,"","30.10.2003","OSP","IE0111"
"IE",11,2,8,26,"670093",72.5,9.5,3,0.21,0.56,1.49,0.3,0.88,0,0.18,9.9,98.2,13,64.3,10.8,5,"","30.10.2003","OSP","IE0112"
"IE",11,3,26,33,"670094",70.8,11.9,8.2,0.21,0.88,2.43,0.33,0.92,0.08,0.06,5.5,101,10.1,23,7,2.3,"","30.10.2003","OSP","IE0113"
"IE",11,4,40,60,"670095",65.5,12.4,6.3,3.16,1.45,2.81,0.29,0.93,0.15,0.19,6.6,99.5,9,27.7,6.8,3.1,"","30.10.2003","OSP","IE0114"
"IE",11,5,60,80,"670096",52.6,9.8,3.6,12.73,2.03,2.33,0.29,0.72,0.07,0.19,13.9,98,9.1,38.9,7.4,4.3,"","30.10.2003","OSP","IE0115"
"DE",2,1,0,15,"670001",75.4,7.1,2.3,0.38,0.2,1.52,,0.74,0.08,0.07,11.3,99.1,18,87.3,14.9,4.8,"","19.05.1995","","DE0021"
"DE",2,2,15,35,"670002",81.5,7.7,2.9,0.27,0.31,1.74,,0.8,0.1,0.04,3,98.4,18,74.8,14.5,4.2,"","19.05.1995","","DE0022"
