"ISO","ID","HORI","MOTTA","MOTTA2","MOTTS","MOTTS2","MOTTC","MOTTC2","MOTTB","MOTTB2","MOTTHUE","MOTTVAL","MOTTCH","MOTTHU2","MOTTVA2","MOTTCH2","CUTC","CUTT","CUTK","CUTL","INCQ","INCQ2","INCT","INCT2","INCSI","INCSI2","INCH","INCH2","INCSH","INCSH2","INCC","INCC2","ROCKQ","ROCKQ2","ROCKS","ROCKS2","ROCKW","ROCKW2","ROCKC","ROCKC2","PANK","PANC","PANY","PANS","BIOA","BIOK","BIOK2","EDITDATE","VER"
"AU","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","C","","F","","quartz","","","","","","","","","2003-03-11 00:00:00","OSP"
"AU","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-11 00:00:00","OSP"
"AU","3","4","M","","M","","P","","S","","5PB","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-11 00:00:00","OSP"
"AU","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-11 00:00:00","OSP"
"AU","3","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-11 00:00:00","OSP"
"AU","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-11 00:00:00","OSP"
"AU","3","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-11 00:00:00","OSP"
"AU","4","1","F","","M","","D","","C","","10YR","4","1","","","","","","","","V","","S","","","","","","","","","","","","","","","","","","","","","","","","","2003-03-20 00:00:00","OSP"
"AU","4","2","","","","","","","","","10 YR","4","1","10 YR","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU","4","3","F","","","","","","","","10 YR","3","1","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
