"ISO","ID","HORI","TOP","BOT","SAMPLENO","SIO2","AL2O3","FE2O3","CAO","MGO","K2O","NA2O","TIO2","MNO2","P2O5","IGN","TOTAL","RATIOSIAL","RATIOSIFE","RATIOSIR","RATIOALFE","SOELREM","EDITDATE","VERIFIED","CODETYPE"
"AU","4","1","0","10","830065","78.7","13.5","3.9","0.5","0.6","0.6","0.3","1.1","0.08","0.05","6.7","0","","","","","","","","AU0041"
"AU","4","7","150","174","830071","80","13.3","4","0.2","0.7","0.5","0.7","1.09","0.15","0.04","5.2","0","","","","","","","","AU0047"
"TH","1","1","0","15","670107","60.1","20.4","5.7","0.31","0.65","1.21","","0.94","0.02","0.06","11.6","101","5","28.1","4.2","5.6","","1995-05-18 00:00:00","","TH0011"
"TH","1","2","27","48","670108","52.6","18.5","15.5","0.22","0.75","1.57","","0.99","0.01","0.04","10.3","100.5","4.8","9","3.1","1.9","","1995-05-18 00:00:00","","TH0012"
"TH","1","3","64","93","670109","53.4","18.3","11.8","0.18","0.55","2.3","","0.94","0.01","0.02","12.4","99.9","5","12","3.5","2.4","","1995-05-18 00:00:00","","TH0013"
"TH","1","4","93","120","670110","62.5","21.9","3.1","0.18","0.86","1.77","","1.1","0.01","0.02","9.5","100.9","4.8","53.7","4.4","11.1","","1995-05-18 00:00:00","","TH0014"
"TH","2","1","0","10","670111","66.8","12.4","5","3.76","0.59","0.07","","1.19","0.18","0.06","11.5","101.6","9.1","35.6","7.3","3.9","","1995-05-18 00:00:00","","TH0021"
"TH","2","2","15","30","670112","57.2","11.9","5","12.83","0.6","0.06","","0.67","0.38","0.09","13.6","102.3","8.2","30.5","6.4","3.7","","1995-05-18 00:00:00","","TH0022"
"TH","2","3","150","170","670113","32","6.9","2.4","34.93","0.65","0.04","","0.26","0.27","0.22","22.2","99.9","7.9","35.5","6.4","4.5","","1995-05-18 00:00:00","","TH0023"
"TH","4","1","2","15","670116","55.2","23.5","5.5","0.62","1.31","3.15","","0.92","0.02","0.11","10.7","101","4","26.7","3.5","6.7","","1996-07-19 00:00:00","OSP","TH0041"
