"ISO","ID","HORI","BTOP","BBOT","SAMPLENO","PHH2O","PHKCL","PHCACL2","CACO3","CASO4","ORGC","ORGN","C/N","CA","MG","NA","K","SUM","EXACID","EXAL","CECSOIL","CECCLAY","CECORG","ECEC","BS","ALS","ESP","EC","CHEMREM","EDITDATE","VERIFIED"
"BR","13","4","48","85","850242","4.8","4","","","","0.5","0.08","","0","0.1","0","0","0.1","1","1.1","2.6","3","1.8","1.1","4","42","","0.02","specific surface = 61 m2/g fine earth","1995-03-02 00:00:00",""
"BR","13","5","85","132","850243","5.1","4.1","","","","0.35","","","0.2","0.1","0.1","0","0.4","0.9","1","2.6","3","1.2","1.3","15","38","","0.01","specific surface = 61 m2/g fine earth","1995-03-02 00:00:00",""
"BR","13","6","132","150","850244","5.4","4.2","","","","0.27","","","0","0","0.1","0","0.1","0.8","0.9","1.9","2","0.9","0.9","5","47","","0.01","specific surface = 59 m2/g fine earth","1995-03-02 00:00:00",""
"BR","13","7","150","250","850245","5.2","4.1","","","","0.3","","","0","0.1","0","0","0.1","0.8","0.8","2.1","2","1.1","0.9","5","38","","0.01","specific surface = 60 m2/g fine earth","1995-03-02 00:00:00",""
"BR","13","8","","","850245","5.2","4.2","","","","0.24","","","0","0.1","0.1","0","0.2","","","1.9","2","0.8","0.2","11","","","0.01","specific surface = 59 m2/g fine earth","1995-03-02 00:00:00",""
"CN","7","1","0","5","840297","4.9","4","","","","1.53","0.11","","0.4","0.1","0.2","0.1","0.8","1.9","1.7","4.1","13","5.4","2.7","20","41","","","","1995-02-23 00:00:00",""
"CN","7","2","5","20","840298","5.2","4.1","","","","0.58","0.03","","0.4","0.1","0.2","0","0.7","1.4","1.3","2.5","6","2","2.1","28","52","","","","1995-02-23 00:00:00",""
"CN","7","3","20","45","840299","5.2","4.2","","","","0.28","0.01","","0.4","0.1","0.2","0.1","0.8","1","0.7","2.1","5","1","1.8","38","33","","","","1995-02-23 00:00:00",""
"CN","7","4","45","60","840300","5.2","4.2","","","","0.16","0","","0.4","0.1","0.2","0","0.7","0.9","0.7","1.4","4","0.6","1.6","50","50","","","specific surface = 33 m2/g fine earth","1995-02-23 00:00:00",""
"CN","7","5","60","80","840301","5.2","4.2","","","","0.37","0","","0.8","0.1","0.2","0","1.1","0.8","0.7","1.9","5","1.3","1.9","58","37","","","","1995-02-23 00:00:00",""
"CN","7","6","80","120","840302","5.2","4.1","","","","0.19","","","0.4","0.1","0.2","0","0.7","1.1","0.9","1.8","5","0.7","1.8","39","50","","","specific surface = 31 m2/g fine earth","1995-02-23 00:00:00",""
"CN","7","7","120","150","840303","5.2","4.1","","","","0.14","","","0.4","0.1","0.2","0","0.7","1.3","1","1.8","6","0.5","2","39","56","","","","1995-02-23 00:00:00",""
"MZ","2","1","0","15","830008","5.2","4.5","","","","1.19","0.08","","0.6","0.8","0","0.1","1.5","0.3","","9.1","25","4.2","1.8","16","","","0.03","","1994-06-16 00:00:00",""
"MZ","2","2","15","30","830009","5","4.7","","","","0.46","0.04","","0.2","0.8","0","0","1","0.2","","8.1","13","1.6","1.2","12","","","0.01","","1994-06-16 00:00:00",""
"MZ","2","3","30","65","830010","5.1","4.9","","","","0.32","0.04","","0.2","0.8","0","0","1","0.1","","6.7","11","1.1","1.1","15","","","0.02","","1994-06-16 00:00:00",""
"MZ","2","4","65","130","830011","5.5","5.7","","","","0.15","0.03","","0.6","0.9","0","0","1.5","0","","5.2","11","0.5","1.5","29","","","0.01","","1994-06-16 00:00:00",""
"MZ","2","5","130","240","830012","5.5","5.7","","","","0.14","0.03","","0.2","0.7","0.1","0.1","1.1","0","","5.4","9","0.5","1.1","20","","","0","","1994-06-16 00:00:00",""
"MZ","3","1","0","5","830017","5.5","4.9","","","","1.98","0.14","","2.9","2.5","0.7","0.1","6.2","0.1","0","16.2","41","6.9","6.3","38","0","","0.09","","1994-06-16 00:00:00",""
"MZ","3","2","5","17","830018","5.5","4.7","","","","1.36","0.11","","2.5","1.8","0.6","0.1","5","0.1","0","14","26","4.8","5.1","36","0","","0.05","","1994-06-16 00:00:00",""
